cityLabel,population,countryLabel,gps,longitude,latitude
Chongqing,2400000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Omdurman,2395159,Sudan,Point(32.462887 15.683517),32.46,15.68
Ghaziabad,2381452,India,Point(77.416666666 28.666666666),77.42,28.67
Bekasi,2381053,Indonesia,Point(107.0 -6.233333333),107.00,-6.23
Lincang,2368000,People's Republic of China,Point(100.0871 23.88643),100.09,23.89
Jiamusi,2360000,People's Republic of China,Point(130.36531 46.80808),130.37,46.81
Yangjiang,2357000,People's Republic of China,Point(111.96778 21.86505),111.97,21.87
Nagoya,2314125,Japan,Point(136.933333333 35.116666666),136.93,35.12
Fushun,2300000,People's Republic of China,Point(123.89173 41.87085),123.89,41.87
Accra,2291352,Ghana,Point(-0.187 5.6037),-0.19,5.60
Brisbane,2274560,Australia,Point(153.027777777 -27.467777777),153.03,-27.47
Laibin,2272000,People's Republic of China,Point(109.233333333 23.733333333),109.23,23.73
Yuxi,2264000,People's Republic of China,Point(102.54317 24.34953),102.54,24.35
Ürümqi,2262786,People's Republic of China,Point(87.6 43.825),87.60,43.83
Yingkou,2220000,People's Republic of China,Point(122.22972 40.66525),122.23,40.67
Sanmenxia,2213000,People's Republic of China,Point(111.19497 34.77362),111.19,34.77
Paris,2206488,France,Point(2.351827777 48.856577777),2.35,48.86
Indore,2201927,India,Point(75.847222222 22.720555555),75.85,22.72
Suizhou,2200000,People's Republic of China,Point(113.3658 31.71755),113.37,31.72
Houston,2195914,United States of America,Point(-95.383055555 29.762777777),-95.38,29.76
Hezhou,2184000,People's Republic of China,Point(111.547777777 24.416388888),111.55,24.42
Baku,2181800,Azerbaijan,Point(49.835183333 40.366655555),49.84,40.37
Huaibei,2158000,People's Republic of China,Point(116.78904 33.95618),116.79,33.96
Xining,2154000,People's Republic of China,Point(101.77866 36.62386),101.78,36.62
Basra,2150000,Iraq,Point(47.81 30.488888888),47.81,30.49
Yan'an,2150000,People's Republic of China,Point(109.48628 36.59523),109.49,36.60
Havana,2141652,Cuba,Point(-82.383333333 23.116666666),-82.38,23.12
Mogadishu,2120000,Somalia,Point(45.3425 2.040833333),45.34,2.04
Jincheng,2120000,People's Republic of China,Point(112.8483 35.49056),112.85,35.49
Guatemala City,2110100,Guatemala,Point(-90.531388888 14.622777777),-90.53,14.62
Haiphong,2103500,Vietnam,Point(106.666666666 20.8),106.67,20.80
Rawalpindi,2098231,Pakistan,Point(73.033333333 33.6),73.03,33.60
Medan,2097610,Indonesia,Point(98.666666666 3.666666666),98.67,3.67
Manaus,2094391,Brazil,Point(-60.016666666 -3.1),-60.02,-3.10
Kumasi,2069350,Ghana,Point(-1.616666666 6.683333333),-1.62,6.68
Taoyuan District,2058328,Taiwan,Point(121.311111111 24.988888888),121.31,24.99
Perth,2039200,Australia,Point(115.858888888 -31.952222222),115.86,-31.95
Visakhapatnam,2035922,India,Point(83.25 17.7),83.25,17.70
Tangerang,2001925,Indonesia,Point(106.63188934 -6.17830563),106.63,-6.18
Tangerang,2001925,Indonesia,Point(106.631944444 -6.178333333),106.63,-6.18
Barquisimeto,1995770,Venezuela,Point(-69.346694444 10.067777777),-69.35,10.07
Minsk,1974800,Belarus,Point(27.561837 53.902246),27.56,53.90
Kananga,1971704,Democratic Republic of the Congo,Point(22.448833333 -5.897),22.45,-5.90
Peshawar,1970042,Pakistan,Point(71.5 34.0),71.50,34.00
Jixi,1950000,People's Republic of China,Point(130.96496 45.29366),130.96,45.29
Sapporo,1946313,Japan,Point(141.35 43.05),141.35,43.05
Caracas,1943901,Venezuela,Point(-66.933333333 10.5),-66.93,10.50
Fuxin,1930000,People's Republic of China,Point(121.648553 42.012669),121.65,42.01
Blantyre,1895973,Malawi,Point(35.005833333 -15.786111111),35.01,-15.79
Bucharest,1883425,Romania,Point(26.083333333 44.4),26.08,44.40
Bhopal,1883381,India,Point(77.416666666 23.25),77.42,23.25
Curitiba,1879355,Brazil,Point(-49.271944444 -25.429722222),-49.27,-25.43
Vienna,1840573,Austria,Point(16.373064 48.20833),16.37,48.21
Tainan,1840257,Taiwan,Point(120.183333333 22.983333333),120.18,22.98
Pingxiang,1840000,People's Republic of China,Point(113.85 27.633333333),113.85,27.63
Brazzaville,1827000,Republic of the Congo,Point(15.283333333 -4.266666666),15.28,-4.27
Hamburg,1810438,Germany,Point(10.0 53.55),10.00,53.55
Aleppo,1800000,Syria,Point(37.15 36.2),37.15,36.20
Liaoyang,1800000,People's Republic of China,Point(123.1772 41.26432),123.18,41.26
Lubumbashi,1786397,Democratic Republic of the Congo,Point(27.458055555 -11.669722222),27.46,-11.67
Manila,1780148,Philippines,Point(121.0 14.583333333),121.00,14.58
Chongqing,1772500,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Maputo,1766184,Mozambique,Point(32.576388888 -25.915277777),32.58,-25.92
Isfahan,1756126,Iran,Point(51.679166666 32.651388888),51.68,32.65
Damascus,1754000,Syria,Point(36.291944444 33.513055555),36.29,33.51
Warsaw,1753977,Poland,Point(21.033333333 52.216666666),21.03,52.22
Budapest,1752704,Hungary,Point(19.040833333 47.498333333),19.04,47.50
Heihe,1750000,People's Republic of China,Point(127.488611 50.245833),127.49,50.25
Pimpri-Chinchwad,1729320,India,Point(73.813055555 18.627777777),73.81,18.63
Montreal,1704694,Canada,Point(-73.555 45.508056),-73.56,45.51
Almaty,1703500,Kazakhstan,Point(76.9 43.25),76.90,43.25
Mosul,1694000,Iraq,Point(43.116666666 36.366666666),43.12,36.37
Patna,1683200,India,Point(85.141388888 25.61),85.14,25.61
Mecca,1675368,Saudi Arabia,Point(39.826111111 21.4225),39.83,21.42
Vadodara,1670806,India,Point(73.2 22.3),73.20,22.30
Conakry,1667864,Guinea,Point(-13.712222222 9.509166666),-13.71,9.51
Kampala,1659600,Uganda,Point(32.581111111 0.313611111),32.58,0.31
Ecatepec de Morelos,1655015,Mexico,Point(-99.06 19.609722222),-99.06,19.61
Makassar,1651146,Indonesia,Point(119.431111111 -5.133333333),119.43,-5.13
Adana,1636229,Turkey,Point(35.325 37.0),35.33,37.00
Davao City,1632991,Philippines,Point(125.6 7.066666666),125.60,7.07
Depok,1631951,Indonesia,Point(106.8225 -6.393888888),106.82,-6.39
Ouagadougou,1626950,Burkina Faso,Point(-1.535277777 12.357222222),-1.54,12.36
Semarang,1621384,Indonesia,Point(110.416666666 -6.966666666),110.42,-6.97
Barcelona,1620809,Spain,Point(2.176944444 41.3825),2.18,41.38
Barcelona,1620809,Catalan Republic,Point(2.176944444 41.3825),2.18,41.38
Yinchuan,1616000,People's Republic of China,Point(106.22536 38.47947),106.23,38.48
Quito,1607734,Ecuador,Point(-78.509722222 -0.218611111),-78.51,-0.22
Multan,1606481,Pakistan,Point(71.416666666 30.2),71.42,30.20
Harare,1606000,Zimbabwe,Point(31.052222222 -17.829166666),31.05,-17.83
Novosibirsk,1602915,Russia,Point(82.916666666 55.033333333),82.92,55.03
Coimbatore,1601438,India,Point(76.966666666 11.0),76.97,11.00
Karaj,1592492,Iran,Point(50.966666666 35.816666666),50.97,35.82
Caloocan,1583978,Philippines,Point(120.966666666 14.65),120.97,14.65
Beihai,1573000,People's Republic of China,Point(109.1 21.466666666),109.10,21.47
Gujranwala,1569090,Pakistan,Point(74.183333333 32.15),74.18,32.15
Fukuoka,1567189,Japan,Point(130.401944444 33.590277777),130.40,33.59
Benxi,1567000,People's Republic of China,Point(123.76097 41.29204),123.76,41.29
Bursa,1562828,Turkey,Point(29.066666666 40.183333333),29.07,40.18
Zhuhai,1562000,People's Republic of China,Point(113.566666666 22.266666666),113.57,22.27
Madurai,1561129,India,Point(78.119394444 9.919661111),78.12,9.92
Philadelphia,1560297,United States of America,Point(-75.163333333 39.953055555),-75.16,39.95
Gaziantep,1556381,Turkey,Point(37.383333333 37.066666666),37.38,37.07
Recife,1555039,Brazil,Point(-34.880833333 -8.053888888),-34.88,-8.05
Jingdezhen,1554000,People's Republic of China,Point(117.203611 29.294167),117.20,29.29
Palembang,1548064,Indonesia,Point(104.764444444 -2.983333333),104.76,-2.98
Ordos City,1547900,People's Republic of China,Point(109.9975 39.815),110.00,39.82
Daejeon,1535445,South Korea,Point(127.385 36.351),127.39,36.35
Kōbe,1532153,Japan,Point(135.183 34.6913),135.18,34.69
Ya'an,1512000,People's Republic of China,Point(103.00074 29.9888),103.00,29.99
Cartagena,1505755,Colombia,Point(-75.525277777 10.423611111),-75.53,10.42
Kawasaki,1503690,Japan,Point(139.7 35.516666666),139.70,35.52
Phnom Penh,1501725,Cambodia,Point(104.916666666 11.55),104.92,11.55
Gwangju,1501557,South Korea,Point(126.916666666 35.166666666),126.92,35.17
Shuangyashan,1500000,People's Republic of China,Point(131.15452 46.63883),131.15,46.64
Tabriz,1494998,Iran,Point(46.283333333 38.083333333),46.28,38.08
Nashik,1486053,India,Point(73.783333333 20.0),73.78,20.00
Zhangjiajie,1486000,People's Republic of China,Point(110.48442 29.12548),110.48,29.13
Porto Alegre,1484941,Brazil,Point(-51.23 -30.032777777),-51.23,-30.03
Kyoto,1472027,Japan,Point(135.768055555 35.011666666),135.77,35.01
Yunfu,1470000,People's Republic of China,Point(112.03526 22.92423),112.04,22.92
Huangshan City,1470000,People's Republic of China,Point(118.31506 29.71318),118.32,29.71
Phoenix,1469471,United States of America,Point(-112.076388888 33.528333333),-112.08,33.53
Munich,1464301,Germany,Point(11.566666666 48.133333333),11.57,48.13
Shiraz,1460665,Iran,Point(52.516666666 29.6),52.52,29.60
Guadalajara,1460148,Mexico,Point(-103.351944444 20.666111111),-103.35,20.67
Yekaterinburg,1455904,Russia,Point(60.583333333 56.833333333),60.58,56.83
Auckland,1454300,New Zealand,Point(174.783333333 -36.85),174.78,-36.85
Santa Cruz,1453549,Bolivia,Point(-63.1975 -17.789166666),-63.20,-17.79
Kharkiv,1445098,Ukraine,Point(36.229166666 50.0),36.23,50.00
Peshawar,1439205,Pakistan,Point(71.5 34.0),71.50,34.00
León,1436733,Mexico,Point(-101.680555555 21.119722222),-101.68,21.12
San Antonio,1436697,United States of America,Point(-98.493333333 29.428611111),-98.49,29.43
Puebla Garcia,1434062,Mexico,Point(-98.217777777 19.051388888),-98.22,19.05
Chizhou,1430000,People's Republic of China,Point(117.48487 30.65826),117.48,30.66
Hebi,1419000,People's Republic of China,Point(114.2887 35.74975),114.29,35.75
Faridabad,1404653,India,Point(77.3 28.416666666),77.30,28.42
Sharjah,1400000,United Arab Emirates,Point(55.391944444 25.3575),55.39,25.36
Ulaanbaatar,1396288,Mongolia,Point(106.916666666 47.916666666),106.92,47.92
San Diego,1394928,United States of America,Point(-117.1625 32.715),-117.16,32.72
Goiânia,1393575,Brazil,Point(-49.253888888 -16.678888888),-49.25,-16.68
Belém,1393399,Brazil,Point(-48.503888888 -1.455833333),-48.50,-1.46
Aurangabad,1371330,India,Point(75.32 19.88),75.32,19.88
Islamabad,1365000,Pakistan,Point(73.066666666 33.716666666),73.07,33.72
Milan,1351562,Italy,Point(9.190336 45.464161),9.19,45.46
Jamshedpur,1337131,India,Point(86.183333333 22.8),86.18,22.80
Rajkot,1335397,India,Point(70.798363888 22.296908333),70.80,22.30
Zapopan,1332272,Mexico,Point(-103.391944444 20.720277777),-103.39,20.72
Guarulhos,1324781,Brazil,Point(-46.533333333 -23.466666666),-46.53,-23.47
Montevideo,1319108,Uruguay,Point(-56.166666666 -34.866944444),-56.17,-34.87
Doha,1312947,Qatar,Point(51.533333333 25.3),51.53,25.30
Khulna,1311100,Bangladesh,Point(89.55 22.816666666),89.55,22.82
Meerut,1305429,India,Point(77.7 28.99),77.70,28.99
Adelaide,1300000,Australia,Point(138.583333333 -34.933333333),138.58,-34.93
Yangquan,1300000,People's Republic of China,Point(113.57623 37.8576),113.58,37.86
Qom,1292283,Iran,Point(50.878888888 34.646111111),50.88,34.65
Sofia,1286383,Bulgaria,Point(23.333333333 42.7),23.33,42.70
Saitama,1286082,Japan,Point(139.645277777 35.861666666),139.65,35.86
Ma'anshan,1281000,People's Republic of China,Point(118.360472 31.713531),118.36,31.71
Prague,1280508,Czech Republic,Point(14.421388888 50.088611111),14.42,50.09
Jabalpur,1267564,India,Point(79.933333333 23.166666666),79.93,23.17
Nizhny Novgorod,1264075,Russia,Point(44.0075 56.326944444),44.01,56.33
Saitama,1263979,Japan,Point(139.645277777 35.861666666),139.65,35.86
Comayaguela,1250000,Honduras,Point(-87.21667 14.08333),-87.22,14.08
Yichun,1250000,People's Republic of China,Point(128.88932 47.72347),128.89,47.72
Panjin,1243000,People's Republic of China,Point(122.06339 41.11983),122.06,41.12
Calgary,1239220,Canada,Point(-114.066666666 51.05),-114.07,51.05
Abuja,1235880,Nigeria,Point(7.5 9.05),7.50,9.05
Belgrade,1233796,Serbia,Point(20.466666666 44.816666666),20.47,44.82
Kazan,1231878,Russia,Point(49.114444444 55.790833333),49.11,55.79
Barranquilla,1228621,Colombia,Point(-74.796388888 10.963888888),-74.80,10.96
Vasai-Virar,1222390,India,Point(72.8 19.47),72.80,19.47
Maracaibo,1220000,Venezuela,Point(-71.633333333 10.633333333),-71.63,10.63
Tangerang Selatan,1219245,Indonesia,Point(106.718055555 -6.288888888),106.72,-6.29
Lijiang,1216000,People's Republic of China,Point(100.22514 26.87505),100.23,26.88
Suwon,1207032,South Korea,Point(127.019166666 37.284166666),127.02,37.28
Ciudad Guayana,1200000,Venezuela,Point(-62.651652777 8.359616666),-62.65,8.36
Mombasa,1200000,Kenya,Point(39.666666666 -4.05),39.67,-4.05
Tunis,1200000,Tunisia,Point(10.18 36.800833333),10.18,36.80
Chelyabinsk,1198858,Russia,Point(61.4 55.15),61.40,55.15
Hiroshima,1198555,Japan,Point(132.455277777 34.385277777),132.46,34.39
Varanasi,1198491,India,Point(83.006111111 25.306944444),83.01,25.31
Dallas,1197816,United States of America,Point(-96.7975 32.7825),-96.80,32.78
Maiduguri,1197497,Nigeria,Point(13.15 11.833333333),13.15,11.83
Srinagar,1192792,India,Point(74.806111111 34.091111111),74.81,34.09
Balıkesir,1189057,Turkey,Point(27.884166666 39.651111111),27.88,39.65
Omsk,1178391,Russia,Point(73.383333333 54.966666666),73.38,54.97
Brussels,1175000,Belgium,Point(4.3525 50.846666666),4.35,50.85
Samara,1169719,Russia,Point(50.116666666 53.183333333),50.12,53.18
Bandarlampung,1166761,Indonesia,Point(105.2625 -5.429444444),105.26,-5.43
Ulsan,1166033,South Korea,Point(129.316666666 35.55),129.32,35.55
Campinas,1164098,Brazil,Point(-47.057294444 -22.900913888),-47.06,-22.90
Naypyidaw,1160242,Myanmar,Point(96.15833 19.80278),96.16,19.80
Santiago de los Caballeros,1142947,Dominican Republic,Point(-70.7 19.45),-70.70,19.45
Quetta,1140000,Pakistan,Point(67.007 30.192),67.01,30.19
Monterrey,1135512,Mexico,Point(-100.308611111 25.671388888),-100.31,25.67
Kigali,1132686,Rwanda,Point(30.060555555 -1.953611111),30.06,-1.95
Amritsar,1132383,India,Point(74.85 31.616666666),74.85,31.62
Ufa,1130000,Russia,Point(55.966666666 54.733333333),55.97,54.73
Tegucigalpa,1126534,Honduras,Point(-87.206666666 14.094166666),-87.21,14.09
Tripoli,1126000,Libya,Point(13.183333333 32.9),13.18,32.90
Bhiwandi,1125898,India,Point(73.066666666 19.3),73.07,19.30
Rostov-on-Don,1125299,Russia,Point(39.716666666 47.233333333),39.72,47.23
Birmingham,1123000,United Kingdom,Point(-1.9 52.483333333),-1.90,52.48
Navi Mumbai,1119477,India,Point(73.01 19.03),73.01,19.03
Tbilisi,1118035,Georgia,Point(44.783333333 41.716666666),44.78,41.72
Fes,1112072,Morocco,Point(-5.001944444 34.044166666),-5.00,34.04
Ahvaz,1112021,Iran,Point(48.669166666 31.320277777),48.67,31.32
Biên Hòa,1104000,Vietnam,Point(106.816666666 10.95),106.82,10.95
Gwalior,1101981,India,Point(78.193055555 26.215),78.19,26.22
Hegang,1100000,People's Republic of China,Point(130.2775 47.313889),130.28,47.31
N'Djamena,1092066,Chad,Point(15.072222222 12.116388888),15.07,12.12
Irbid,1088100,Jordan,Point(35.85 32.55),35.85,32.55
Howrah,1077075,India,Point(88.31 22.59),88.31,22.59
Cologne,1075935,Germany,Point(6.957777777 50.942222222),6.96,50.94
Yerevan,1074000,Armenia,Point(44.516666666 40.183333333),44.52,40.18
São Luís,1073893,Brazil,Point(-44.302777777 -2.53),-44.30,-2.53
San Pedro Sula,1073824,Honduras,Point(-88.033333333 15.5),-88.03,15.50
Ranchi,1073440,India,Point(85.334722222 23.355555555),85.33,23.36
Antalya,1068099,Turkey,Point(30.683333333 36.9),30.68,36.90
Krasnoyarsk,1066934,Russia,Point(92.866666666 56.016666666),92.87,56.02
Changwon,1059241,South Korea,Point(128.681111111 35.228055555),128.68,35.23
Sendai,1058070,Japan,Point(140.869444444 38.268333333),140.87,38.27
Ganja,1054962,Azerbaijan,Point(46.360555555 40.682777777),46.36,40.68
Chandigarh,1054686,India,Point(76.791111111 30.735277777),76.79,30.74
Perm,1048005,Russia,Point(56.248888888 58.013888888),56.25,58.01
Ciudad Nezahualcóyotl,1039867,Mexico,Point(-98.988888888 19.4),-98.99,19.40
Voronezh,1039801,Russia,Point(39.210555555 51.671666666),39.21,51.67
Chongqing,1039000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Jodhpur,1033918,India,Point(73.033333333 26.466666666),73.03,26.47
Ogbomosho,1032000,Nigeria,Point(4.25 8.133333333),4.25,8.13
Bogor,1030720,Indonesia,Point(106.8 -6.6),106.80,-6.60
Batam,1029808,Indonesia,Point(104.016666666 1.067777777),104.02,1.07
Maceió,1029129,Brazil,Point(-35.735 -9.665833333),-35.74,-9.67
Managua,1028808,Nicaragua,Point(-86.266666666 12.15),-86.27,12.15
Niamey,1026848,Niger,Point(2.111111111 13.508611111),2.11,13.51
Shubra El-Kheima,1025569,Egypt,Point(31.242222222 30.128611111),31.24,30.13
San Francisco,805235,United States of America,Point(-122.433333 37.766667),-122.43,37.77
San Jose,1025350,United States of America,Point(-121.872777777 37.304166666),-121.87,37.30
Monrovia,1021762,Liberia,Point(-10.804722222 6.310555555),-10.80,6.31
Volgograd,1015586,Russia,Point(44.483333333 48.7),44.48,48.70
Odessa,1010783,Ukraine,Point(30.73262 46.47747),30.73,46.48
Odessa,1010783,Ukraine,Point(30.743444 46.485722),30.74,46.49
Raipur,1010087,India,Point(81.6336833 21.2379468),81.63,21.24
Ashgabat,1003678,Turkmenistan,Point(58.383333333 37.95),58.38,37.95
Kota,1001694,India,Point(75.83 25.18),75.83,25.18
Kota,1001694,India,Point(76.383333333 25.3),76.38,25.30
Abu Dhabi,1000000,United Arab Emirates,Point(54.368611111 24.478055555),54.37,24.48
Bareilly,1000000,India,Point(79.415 28.364),79.42,28.36
Goyang,990073,South Korea,Point(126.835 37.656388888),126.84,37.66
Port-au-Prince,987310,Haiti,Point(-72.338611111 18.5425),-72.34,18.54
Dnipro,983836,Ukraine,Point(34.983333333 48.45),34.98,48.45
Dnipro,983836,Soviet Union,Point(34.983333333 48.45),34.98,48.45
Honolulu,983429,United States of America,Point(-157.966666666 21.466666666),-157.97,21.47
Kathmandu,975453,Nepal,Point(85.366666666 27.716666666),85.37,27.72
Chiba,975140,Japan,Point(140.1 35.6),140.10,35.60
Chiba,975140,Japan,Point(140.11667 35.6),140.12,35.60
Kirkuk,975000,Iraq,Point(44.4 35.466666666),44.40,35.47
Tangier,974000,Morocco,Point(-5.8125 35.784722222),-5.81,35.78
Naples,972212,Italy,Point(14.25 40.833333333),14.25,40.83
Yongin,971327,South Korea,Point(127.201111111 37.236111111),127.20,37.24
Zhoushan,969145,People's Republic of China,Point(122.09885 30.01619),122.10,30.02
Bishkek,965900,Kyrgyzstan,Point(74.566666666 42.866666666),74.57,42.87
Denizli,963464,Turkey,Point(29.087777777 37.773055555),29.09,37.77
Nouakchott,958399,Mauritania,Point(-15.974444444 18.078333333),-15.97,18.08
Guwahati,957352,India,Point(91.766666666 26.166666666),91.77,26.17
Maracay,955362,Venezuela,Point(-67.595833333 10.246944444),-67.60,10.25
Mandalay,952570,Myanmar,Point(96.086944444 21.976944444),96.09,21.98
Solapur,951558,India,Point(75.916666666 17.683333333),75.92,17.68
Freetown,951000,Sierra Leone,Point(-13.233055555 8.483333333),-13.23,8.48
Kitakyūshū,950646,Japan,Point(130.85034 33.85181),130.85,33.85
Kitakyūshū,950646,Japan,Point(130.883333333 33.883333333),130.88,33.88
Seongnam,948757,South Korea,Point(127.137777777 37.438611111),127.14,37.44
Kingston,937700,Jamaica,Point(-76.8 17.983333333),-76.80,17.98
Stockholm,935619,Sweden,Point(18.068611111 59.329444444),18.07,59.33
Ottawa,934243,Canada,Point(-75.7 45.416666666),-75.70,45.42
Aligarh,933119,India,Point(78.08 27.88),78.08,27.88
Edmonton,932546,Canada,Point(-113.5 53.5),-113.50,53.50
Danzhou,932356,People's Republic of China,Point(109.583333333 19.5),109.58,19.50
Donetsk,929063,Ukraine,Point(37.804166666 48.008888888),37.80,48.01
Marrakesh,928850,Morocco,Point(-7.98108 31.62947),-7.98,31.63
Cebu City,922611,Philippines,Point(123.9 10.3),123.90,10.30
Heroica Matamoros,920367,Mexico,Point(-97.504166666 25.879722222),-97.50,25.88
Sialkot,920000,Pakistan,Point(74.533333333 32.5),74.53,32.50
Trichy,916857,India,Point(79.15 11.35),79.15,11.35
Austin,912791,United States of America,Point(-97.733333333 30.3),-97.73,30.30
Ashgabat,909000,Turkmenistan,Point(58.383333333 37.95),58.38,37.95
Kayseri,904699,Turkey,Point(35.483333333 38.733333333),35.48,38.73
Dammam,903000,Saudi Arabia,Point(50.2 26.283333333),50.20,26.28
Homs,900492,Syria,Point(36.716666666 34.733333333),36.72,34.73
Khartoum North,900000,Sudan,Point(32.633333333 15.633333333),32.63,15.63
Djelfa,897920,Algeria,Point(3.25 34.666666666),3.25,34.67
Turin,889600,Italy,Point(7.7 45.066666666),7.70,45.07
Abeokuta,888924,Nigeria,Point(3.35 7.15),3.35,7.15
Muradabad,887871,India,Point(78.783333333 28.833333333),78.78,28.83
Mysore,887446,India,Point(76.643333333 12.303055555),76.64,12.30
Duval County,885855,United States of America,Point(-81.65 30.33),-81.65,30.33
Hermosillo,884342,Mexico,Point(-110.950833333 29.095555555),-110.95,29.10
Krasnodar,881476,Russia,Point(38.983333333 45.033333333),38.98,45.03
Panama City,880691,Panama,Point(-79.5 9.0),-79.50,9.00
Jacksonville,880619,United States of America,Point(-81.65 30.316666666),-81.65,30.32
Astana,880191,Kazakhstan,Point(71.4 51.183333333),71.40,51.18
Chihuahua,878062,Mexico,Point(-106.088888888 28.635277777),-106.09,28.64
Klang,878000,Malaysia,Point(101.45 3.033333333),101.45,3.03
Gurgaon,876824,India,Point(77.033333333 28.466666666),77.03,28.47
Vijayawada,874587,India,Point(80.616666666 16.516666666),80.62,16.52
Jos,873943,Nigeria,Point(8.883333333 9.933333333),8.88,9.93
Jalandhar,873725,India,Point(75.579166666 31.325555555),75.58,31.33
Arequipa,869351,Peru,Point(-71.536883333 -16.398763888),-71.54,-16.40
Bucheon,867678,South Korea,Point(126.783055555 37.498888888),126.78,37.50
Jerusalem,865721,Israel,Point(35.216666666 31.783333333),35.22,31.78
Zamboanga City,861799,Philippines,Point(122.083333333 6.916666666),122.08,6.92
Mar del Plata,860000,Argentina,Point(-57.55 -38.0),-57.55,-38.00
Culiacán,858638,Mexico,Point(-107.383333333 24.8),-107.38,24.80
Marseille,855393,France,Point(5.376388888 43.296666666),5.38,43.30
Pekanbaru,855221,Indonesia,Point(101.45 0.533333333),101.45,0.53
Shymkent,854500,Kazakhstan,Point(69.6 42.3),69.60,42.30
Indianapolis,853173,United States of America,Point(-86.158055555 39.767777777),-86.16,39.77
Erbil,852500,Iraq,Point(44.009444444 36.191111111),44.01,36.19
Kermanshah,851405,Iran,Point(47.068611111 34.316666666),47.07,34.32
Salé,850403,Morocco,Point(-6.816667 34.05),-6.82,34.05
Ilorin,847582,Nigeria,Point(4.55 8.5),4.55,8.50
Saratov,843460,Russia,Point(46.0 51.533333333),46.00,51.53
Bhubaneswar,837737,India,Point(85.828055555 20.264444444),85.83,20.26
Lomé,837437,Togo,Point(1.222777777 6.131944444),1.22,6.13
Denpasar,834881,Indonesia,Point(115.216666666 -8.65),115.22,-8.65
Sakai,834267,Japan,Point(135.483333333 34.566666666),135.48,34.57
Cheongju,833276,South Korea,Point(127.489722222 36.637222222),127.49,36.64
Valencia,830000,Venezuela,Point(-68.0 10.166666666),-68.00,10.17
El Alto,827239,Bolivia,Point(-68.2 -16.5),-68.20,-16.50
Amsterdam,825080,Netherlands,Point(4.9 52.383333333),4.90,52.38
São Bernardo do Campo,816925,Brazil,Point(-46.565 -23.693888888),-46.57,-23.69
Mira-Bhayandar,814655,India,Point(72.85 19.3),72.85,19.30
Fort Worth,812238,United States of America,Point(-97.333055555 32.757222222),-97.33,32.76
Warangal,811844,India,Point(79.601111111 17.975555555),79.60,17.98
Taguig,804915,Philippines,Point(121.05 14.516666666),121.05,14.52
Niigata,804152,Japan,Point(139.019722222 37.916111111),139.02,37.92
Trujillo,803546,Peru,Point(-79.028888888 -8.111944444),-79.03,-8.11
La Plata,799523,Argentina,Point(-57.95 -34.933333333),-57.95,-34.93
Libreville,797003,Gabon,Point(9.4544 0.3901),9.45,0.39
Hamamatsu,796114,Japan,Point(137.733333333 34.716666666),137.73,34.72
Vientiane,795000,Laos,Point(102.6 17.966666666),102.60,17.97
Zagreb,790017,Croatia,Point(15.95 45.8),15.95,45.80
Huaral,790011,Peru,Point(-77.216666666 -11.5),-77.22,-11.50
Huaral,790011,Peru,Point(-77.20906067 -11.50076008),-77.21,-11.50
Huaral,790011,Peru,Point(-77.2 -11.5),-77.20,-11.50
Valencia,787808,Spain,Point(-0.375 39.466666666),-0.38,39.47
